"rep","status","abundance","scenario","occ_shift","count_log_mult","bias_all","rmse_all","coverage_all","frac_sign_correct","sigma_region_mean","sigma_region_lb","sigma_region_ub","waic_primary","waic_national","waic_diff","elapsed_sec","est_EASTERN.TEMPERATE.FORESTS","est_GREAT.PLAINS","est_MARINE.WEST.COAST.FOREST","est_MEDITERRANEAN.CALIFORNIA","est_NORTH.AMERICAN.DESERTS","est_NORTHERN.FORESTS","est_NORTHWESTERN.FORESTED.MOUNTAINS","est_WATER","err_EASTERN.TEMPERATE.FORESTS","err_GREAT.PLAINS","err_MARINE.WEST.COAST.FOREST","err_MEDITERRANEAN.CALIFORNIA","err_NORTH.AMERICAN.DESERTS","err_NORTHERN.FORESTS","err_NORTHWESTERN.FORESTED.MOUNTAINS","err_WATER","cov_EASTERN.TEMPERATE.FORESTS","cov_GREAT.PLAINS","cov_MARINE.WEST.COAST.FOREST","cov_MEDITERRANEAN.CALIFORNIA","cov_NORTH.AMERICAN.DESERTS","cov_NORTHERN.FORESTS","cov_NORTHWESTERN.FORESTED.MOUNTAINS","cov_WATER","info_cam_detections_total","info_cam_det_per_site","info_inat_count_total","info_inat_count_per_cell","info_n_site","info_n_cell50"
30,"ok","bobcat_baseline","null",0,0,-0.0293358425761518,0.134709380338601,1,NA,0.302972745889685,0.00637688146213905,0.886667837587604,2883.29665082918,2888.00475294051,4.70810211133539,2288.639950037,0.161455891298982,0.048775632838426,-0.252864828169352,-0.175139467942374,-0.0170032110988445,0.0687494535085602,-0.120175043124194,0.0515148320795816,0.161455891298982,0.048775632838426,-0.252864828169352,-0.175139467942374,-0.0170032110988445,0.0687494535085602,-0.120175043124194,0.0515148320795816,1,1,1,1,1,1,1,1,197,0.282234957020057,852,3.94444444444444,698,216
1,"ok","bobcat_baseline","varying",0,0,-0.0375063807468531,0.296866653295436,1,0.375,0.366096134959458,0.0636713781301533,1.00292533380318,2905.85944060433,2900.75609112943,-5.10334947489855,2538.899766922,-0.100794100899563,0.200293275542919,-0.130790846606377,0.220309895311845,-0.236777717828151,0.104275137666588,-0.260104821466922,-0.0964618676951633,0.184979702425141,0.404417420774851,-0.00831635946721858,0.261134724358232,-0.277602546874537,-0.0181993494725714,-0.464228966698854,-0.382235671019867,1,1,1,1,1,1,1,1,246,0.35243553008596,817,3.78240740740741,698,216
2,"ok","bobcat_baseline","varying",0,0,0.00744272058068388,0.189666189251839,1,0.75,0.309538232092197,0.0525755533810224,0.932839295028846,2952.22162648035,2934.59692383175,-17.624702648603,2496.12584710121,-0.0708528461446793,-0.060748421852502,-0.00747724091193203,-0.0210646800251361,0.202102177388154,-0.0228880023727785,-0.192767594207038,0.233238372771383,0.214920957180025,0.143375723379429,0.114997246227227,0.0197601490212502,0.161277348341768,-0.145362489511937,-0.396891739438969,-0.0525354305533216,1,1,1,1,1,1,1,1,211,0.302292263610315,830,3.84259259259259,698,216
3,"ok","bobcat_baseline","varying",0,0,-0.00194031922634206,0.155525868083452,1,0.625,0.198731648764984,0.0250502432719412,0.66709866319979,2928.38169608962,2921.57916164532,-6.80253444430082,2372.05624055862,-0.0667841247415826,-0.0623848302104105,0.00576772815238082,0.0346998987637853,-0.0487411132125832,0.0490634841128075,0.0339227117268458,0.0389336915980203,0.218989678583122,0.141739315021521,0.12824221529154,0.0755247278101716,-0.0895659422589695,-0.0734110030263514,-0.170201433505086,-0.246840111726684,1,1,1,1,1,1,1,1,216,0.30945558739255,849,3.93055555555556,698,216
4,"ok","bobcat_baseline","varying",0,0,0.00818768792335343,0.166760001815713,1,0.75,0.194780318254859,0.00804454675035371,0.677966935626271,2879.41818314138,2880.03345193922,0.615268797836507,2467.82556009293,-0.0306275212350897,-0.025040122903122,-0.0454261338857111,0.0132785185372087,0.0306037016588714,0.0697551862000402,0.0807717784758818,-0.027813903461252,0.255146282089614,0.17908402232881,0.0770483532534478,0.054103347583595,-0.0102211273875149,-0.0527193009391187,-0.12335236675605,-0.313587706785956,1,1,1,1,1,1,1,1,228,0.326647564469914,809,3.74537037037037,698,216
5,"ok","bobcat_baseline","varying",0,0,-0.00488784987075514,0.248240881147872,1,0.5,0.304256392082826,0.072902532633727,0.879441805908532,3110.9945896636,3124.55130445503,13.556714791428,2542.95599722862,-0.106457277324628,0.11081953825601,0.100435336775424,-0.144693597867107,0.213908841012722,0.0184962587534032,-0.16401497282547,-0.0675969257463952,0.179316526000076,0.314943683487942,0.222909823914583,-0.103868768820721,0.173084011966335,-0.103978228385756,-0.368139118057402,-0.353370729071099,1,1,1,1,1,1,1,1,223,0.319484240687679,1042,4.82407407407407,698,216
6,"ok","bobcat_baseline","varying",0,0,0.00465231984607036,0.165989024319455,1,0.875,0.125109435118944,0.0106283564175662,0.387730125744562,3050.25574079028,3055.48913973489,5.2333989446156,2431.74807834625,-0.0430044433851516,0.0124176537914033,-0.0297979504123424,-0.0281263827986806,0.0124546025343216,0.0411271162371011,0.0699537569838451,0.00219420581806647,0.242769359939553,0.216541799023335,0.0926765367268165,0.0126984462477057,-0.0283702265120647,-0.0813473709020578,-0.134170388248086,-0.283579597506638,1,1,1,1,1,1,1,1,231,0.330945558739255,803,3.71759259259259,698,216
7,"ok","bobcat_baseline","varying",0,0,-0.00733934904816965,0.154671880504739,1,0.875,0.233508667315071,0.0303931584965639,0.613936740404406,2950.44817684795,2958.49344312258,8.04526627463019,2529.41843891144,-0.0716724038775352,-0.00209490788449751,-0.00742660123682358,-0.0804959669499818,-0.0303135571163873,0.026841668126362,0.0455532796183473,0.0608936969351588,0.214101399447169,0.202029237347434,0.115047885902335,-0.0396711379035955,-0.0711383861627736,-0.0956328190127969,-0.158570865613584,-0.224880106389545,1,1,1,1,1,1,1,1,225,0.322349570200573,950,4.39814814814815,698,216
8,"ok","bobcat_baseline","varying",0,0,-0.015597749751431,0.132423393463491,1,0.75,0.259152978553889,0.0422532059711092,0.728967169284889,2989.7676172648,2983.4364159985,-6.33120126630092,2501.73753046989,-0.087475548072105,-0.101575357791371,-0.174642978158717,0.0924299339984981,-0.123119907356015,0.0149880556878792,0.130415442597829,0.124198361082553,0.198298255252599,0.102548787440561,-0.0521684910195577,0.133254763044884,-0.163944736402401,-0.10748643145128,-0.0737087026341023,-0.161575442242151,1,1,1,1,1,1,1,1,211,0.302292263610315,854,3.9537037037037,698,216
9,"ok","bobcat_baseline","varying",0,0,-0.0459244526822668,0.233030769677114,1,0.5,0.396142157571848,0.0473644485073887,1.04059230813103,3042.79518743026,3038.85522397834,-3.93996345191999,2473.8726272583,-0.43781654936223,-0.0510283806476708,-0.131895654287574,0.125399689301442,-0.165452595627475,0.442660025499707,-0.0419029210866951,-0.107359235247638,-0.152042746037526,0.153095764584261,-0.00942116714841508,0.166224518347828,-0.206277424673862,0.320185538360548,-0.246027066318627,-0.393133038572342,1,1,1,1,1,1,1,1,202,0.289398280802292,1026,4.75,698,216
10,"ok","bobcat_baseline","varying",0,0,-0.00261937986308434,0.160294773920377,1,0.75,0.155749712798061,0.0185560869653421,0.418320786306201,3022.56778964809,3033.93833810532,11.3705484572347,2372.54522395134,-0.0233495026709923,-0.0237198480300652,-0.051220315167097,-0.0233557118695441,-0.00385409070416435,0.0316852209262135,-0.0323345628802795,0.105193771491254,0.262424300653712,0.180404297201866,0.0712541719720619,0.0174691171768422,-0.0446789197505507,-0.0907892662129454,-0.236458708112211,-0.18058003183345,1,1,1,1,1,1,1,1,235,0.336676217765043,709,3.28240740740741,698,216
11,"ok","bobcat_baseline","varying",0,0,-0.00649645566844258,0.19299662977586,1,0.625,0.136800902265112,0.0193738485104959,0.48437415486645,2901.7176778575,2896.9415811583,-4.77609669919593,2485.29641771317,-0.0164451459875641,0.032917044028604,-0.000195073255954756,-0.0204443201541504,-0.0223479029797955,0.00743129925556662,-0.0550942488305636,0.0222067025763171,0.26932865733714,0.237041189260536,0.122279413883204,0.0203805088922359,-0.0631727320261818,-0.115043187883592,-0.259218394062495,-0.263567100748387,1,1,1,1,1,1,1,1,194,0.277936962750716,763,3.53240740740741,698,216
12,"ok","bobcat_baseline","varying",0,0,-0.0258558900875681,0.194028420084589,1,0.5,0.192349614973899,0.023577689988304,0.584293457009621,3060.50075652435,3079.09639765173,18.5956411273755,2376.74994492531,0.0107613898662173,-0.0380141536798938,-0.0676125637306305,-0.0290833658263203,-0.0829380465348123,0.0860513426429368,-0.0804388081231503,-0.00557291531489146,0.296535193190921,0.166109991552038,0.0548619234085284,0.011741463220066,-0.123762875581199,-0.036423144496222,-0.284562953355082,-0.291346718639596,1,1,1,1,1,1,1,1,240,0.343839541547278,1070,4.9537037037037,698,216
