"row_id","abundance","scenario","rep_id","n_sites","lambda_true_med","ncam_mean","ncam_med","ncam_q99","ncam_max","ncam_draw_max","frac_site_gt50","frac_site_gt200"
676,"moderate","null",16,705,0.113748224571343,0.538638652482269,0.17375,4.317875,7.061875,46,0,0
677,"moderate","null",17,705,0.113748224571343,0.363020744680851,0.141625,2.05516000000001,3.071125,11,0,0
678,"moderate","null",18,705,0.113748224571343,0.372925709219858,0.1075,2.737835,4.11325,22,0,0
679,"moderate","null",19,705,0.113748224571343,0.365700177304965,0.11725,2.54074,3.63475,22,0,0
680,"moderate","null",20,705,0.113748224571343,0.30927304964539,0.102375,2.039625,2.831875,16,0,0
681,"moderate","null",21,705,0.113748224571343,0.300299113475177,0.05625,2.342475,3.340125,15,0,0
682,"moderate","null",22,705,0.113748224571343,0.366061347517731,0.089125,3.05631,3.730625,22,0,0
683,"moderate","null",23,705,0.113748224571343,0.369783865248227,0.1205,2.215635,2.935375,17,0,0
684,"moderate","null",24,705,0.113748224571343,0.38611914893617,0.149625,2.62051,3.296875,20,0,0
685,"moderate","null",25,705,0.113748224571343,0.364109574468085,0.147375,2.24783,3.49675,18,0,0
686,"moderate","null",26,705,0.113748224571343,0.291279255319149,0.068875,2.72502000000001,3.60425,20,0,0
687,"moderate","null",27,705,0.113748224571343,0.456786347517731,0.162,3.20469,4.015,26,0,0
688,"moderate","null",28,705,0.113748224571343,0.320678014184397,0.109375,1.88277,3.413875,50,0,0
689,"moderate","null",29,705,0.113748224571343,0.322880673758865,0.0965,2.160125,2.844875,41,0,0
690,"moderate","null",30,705,0.113748224571343,0.500794326241135,0.166875,5.13965500000003,6.9785,37,0,0
691,"moderate","varying",1,705,0.113748224571343,0.398079255319149,0.09375,4.04529,5.775125,31,0,0
692,"moderate","varying",2,705,0.113748224571343,0.405754787234043,0.148875,2.60748,3.722625,21,0,0
693,"moderate","varying",3,705,0.113748224571343,0.410751773049645,0.18375,2.366335,3.21175,19,0,0
694,"moderate","varying",4,705,0.113748224571343,0.374878723404255,0.114875,2.609395,3.128,18,0,0
695,"moderate","varying",5,705,0.113748224571343,0.364495567375887,0.12975,2.77557,3.414625,25,0,0
696,"moderate","varying",6,705,0.113748224571343,0.400304255319149,0.1455,2.62719,5.362875,40,0,0
697,"moderate","varying",7,705,0.113748224571343,0.41448280141844,0.1765,3.09290000000001,3.912625,25,0,0
698,"moderate","varying",8,705,0.113748224571343,0.245174113475177,0.074,1.901895,2.826375,14,0,0
699,"moderate","varying",9,705,0.113748224571343,0.334245035460993,0.09525,2.60282500000001,3.64525,15,0,0
700,"moderate","varying",10,705,0.113748224571343,0.376695567375886,0.136125,2.37064,2.98475,30,0,0
701,"moderate","varying",11,705,0.113748224571343,0.270943794326241,0.074125,1.8808,2.43,12,0,0
702,"moderate","varying",12,705,0.113748224571343,0.331163829787234,0.128375,2.435705,3.815625,41,0,0
703,"moderate","varying",13,705,0.113748224571343,0.318326063829787,0.079,3.03488000000001,6.00175,29,0,0
704,"moderate","varying",14,705,0.113748224571343,0.361352127659574,0.124375,2.313395,3.042,18,0,0
705,"moderate","varying",15,705,0.113748224571343,0.293602482269504,0.079125,2.18277,3.361125,14,0,0
706,"moderate","varying",16,705,0.113748224571343,0.340194326241135,0.092375,2.834075,3.5785,16,0,0
707,"moderate","varying",17,705,0.113748224571343,0.399954078014184,0.135125,2.7853,4.555,25,0,0
708,"moderate","varying",18,705,0.113748224571343,0.366005141843972,0.149125,2.439735,2.966625,36,0,0
709,"moderate","varying",19,705,0.113748224571343,0.325089361702128,0.11525,2.43993,3.341,16,0,0
710,"moderate","varying",20,705,0.113748224571343,0.302862765957447,0.114875,2.029065,3.78525,17,0,0
711,"moderate","varying",21,705,0.113748224571343,0.272474822695035,0.09625,2.006175,2.477625,20,0,0
712,"moderate","varying",22,705,0.113748224571343,0.328851773049645,0.125375,2.102,4.1705,17,0,0
713,"moderate","varying",23,705,0.113748224571343,0.378046808510638,0.087375,2.997915,4.511625,26,0,0
714,"moderate","varying",24,705,0.113748224571343,0.314377127659574,0.127,1.86783,2.3105,34,0,0
715,"moderate","varying",25,705,0.113748224571343,0.345569503546099,0.115375,2.27236,3.662375,17,0,0
716,"moderate","varying",26,705,0.113748224571343,0.334764184397163,0.14775,2.0482,2.660625,14,0,0
717,"moderate","varying",27,705,0.113748224571343,0.28353280141844,0.091375,2.10205,3.215,14,0,0
718,"moderate","varying",28,705,0.113748224571343,0.281038829787234,0.102625,2.125535,2.836875,79,0,0
719,"moderate","varying",29,705,0.113748224571343,0.356184042553191,0.10925,2.69118,3.433,22,0,0
720,"moderate","varying",30,705,0.113748224571343,0.395640602836879,0.119875,2.640215,3.792625,21,0,0
