cell50,year,species,species_count,total_mammal_count_same_cell
2041,2023,striped_skunk,0,15
2041,2024,striped_skunk,1,4
2041,2025,striped_skunk,0,8
2043,2016,striped_skunk,1,1
2043,2018,striped_skunk,0,1
2043,2019,striped_skunk,0,3
2043,2020,striped_skunk,0,7
2043,2021,striped_skunk,0,3
2043,2022,striped_skunk,0,1
2043,2023,striped_skunk,0,3
2043,2025,striped_skunk,0,6
2045,2012,striped_skunk,0,1
2045,2013,striped_skunk,0,3
2045,2015,striped_skunk,0,3
2045,2016,striped_skunk,0,3
2045,2017,striped_skunk,0,14
2045,2018,striped_skunk,0,23
2045,2019,striped_skunk,0,19
2045,2020,striped_skunk,1,29
2045,2021,striped_skunk,0,26
2045,2022,striped_skunk,0,22
2045,2023,striped_skunk,0,22
2045,2024,striped_skunk,0,32
2045,2025,striped_skunk,0,38
2047,2008,striped_skunk,0,7
2047,2009,striped_skunk,0,16
2047,2010,striped_skunk,0,5
2047,2011,striped_skunk,0,3
2047,2012,striped_skunk,1,11
2047,2013,striped_skunk,0,15
2047,2014,striped_skunk,0,20
2047,2015,striped_skunk,0,22
2047,2016,striped_skunk,1,67
2047,2017,striped_skunk,0,62
2047,2018,striped_skunk,1,145
2047,2019,striped_skunk,1,192
2047,2020,striped_skunk,3,219
2047,2021,striped_skunk,5,345
2047,2022,striped_skunk,5,953
2047,2023,striped_skunk,6,578
2047,2024,striped_skunk,9,572
2047,2025,striped_skunk,2,593
2048,2008,striped_skunk,0,2
2048,2009,striped_skunk,0,2
2048,2010,striped_skunk,0,5
2048,2011,striped_skunk,0,4
2048,2012,striped_skunk,0,9
2048,2013,striped_skunk,0,8
2048,2014,striped_skunk,0,7
2048,2015,striped_skunk,0,2
2048,2016,striped_skunk,0,16
2048,2017,striped_skunk,0,18
2048,2018,striped_skunk,0,27
2048,2019,striped_skunk,0,28
2048,2020,striped_skunk,1,24
2048,2021,striped_skunk,0,23
2048,2022,striped_skunk,0,60
2048,2023,striped_skunk,0,45
2048,2024,striped_skunk,0,74
2048,2025,striped_skunk,0,84
2049,2010,striped_skunk,0,2
2049,2011,striped_skunk,0,2
2049,2013,striped_skunk,0,1
2049,2014,striped_skunk,0,2
2049,2016,striped_skunk,0,2
2049,2017,striped_skunk,0,5
2049,2018,striped_skunk,0,6
2049,2019,striped_skunk,0,12
2049,2020,striped_skunk,1,16
2049,2021,striped_skunk,0,32
2049,2022,striped_skunk,1,26
2049,2023,striped_skunk,0,20
2049,2024,striped_skunk,0,16
2049,2025,striped_skunk,0,27
2050,2012,striped_skunk,0,1
2050,2013,striped_skunk,0,2
2050,2015,striped_skunk,0,2
2050,2016,striped_skunk,0,4
2050,2017,striped_skunk,0,7
2050,2018,striped_skunk,0,7
2050,2019,striped_skunk,0,14
2050,2020,striped_skunk,1,26
2050,2021,striped_skunk,1,32
2050,2022,striped_skunk,1,25
2050,2023,striped_skunk,1,58
2050,2024,striped_skunk,2,63
2050,2025,striped_skunk,4,97
2051,2008,striped_skunk,0,2
2051,2010,striped_skunk,0,2
2051,2011,striped_skunk,0,2
2051,2012,striped_skunk,0,5
2051,2013,striped_skunk,0,2
2051,2014,striped_skunk,0,3
2051,2015,striped_skunk,0,3
2051,2016,striped_skunk,0,5
2051,2017,striped_skunk,5,25
2051,2018,striped_skunk,2,19
2051,2019,striped_skunk,3,27
2051,2020,striped_skunk,1,24
2051,2021,striped_skunk,2,26
2051,2022,striped_skunk,1,48
2051,2023,striped_skunk,1,26
2051,2024,striped_skunk,2,47
2051,2025,striped_skunk,1,28
2070,2009,striped_skunk,0,1
2070,2010,striped_skunk,0,1
2070,2012,striped_skunk,0,1
2070,2013,striped_skunk,0,2
2070,2015,striped_skunk,0,1
2070,2016,striped_skunk,0,4
2070,2017,striped_skunk,0,6
2070,2018,striped_skunk,0,19
2070,2019,striped_skunk,0,12
2070,2020,striped_skunk,0,8
2070,2021,striped_skunk,0,58
2070,2022,striped_skunk,0,34
2070,2023,striped_skunk,0,43
2070,2024,striped_skunk,2,92
2070,2025,striped_skunk,1,110
2071,2014,striped_skunk,0,4
2071,2017,striped_skunk,0,2
2071,2018,striped_skunk,0,1
2071,2019,striped_skunk,0,3
2071,2020,striped_skunk,0,8
2071,2021,striped_skunk,0,13
2071,2022,striped_skunk,0,14
2071,2023,striped_skunk,0,9
2071,2024,striped_skunk,0,17
2071,2025,striped_skunk,2,29
2072,2008,striped_skunk,0,1
2072,2011,striped_skunk,0,2
2072,2012,striped_skunk,0,1
2072,2014,striped_skunk,1,9
2072,2015,striped_skunk,0,7
2072,2017,striped_skunk,0,8
2072,2018,striped_skunk,0,11
2072,2019,striped_skunk,0,22
2072,2020,striped_skunk,1,75
2072,2021,striped_skunk,0,38
2072,2022,striped_skunk,1,52
2072,2023,striped_skunk,0,40
2072,2024,striped_skunk,0,38
