"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
60,-2.68013716291333,-4.50335307906325,-0.929523872595498,-0.281286149378074,-0.963751608636858,0.463212752559756,-0.709002619937581,-2.87251256106149,1.48717453489898,-1275000,2810000,-112.84186615986,47.2624872304639
61,-3.4033275197595,-5.68629785502788,-1.23874231247128,-0.416851044719342,-1.50691401494062,0.594973351397793,-1.71962984544645,-3.95911218443868,0.436283201991578,-1175000,2810000,-111.54534124316,47.4159064774435
62,-3.43483286198037,-5.9295363520328,-1.08808222092026,-0.304489056816656,-1.55355396554987,0.89601601022149,-1.35575447216027,-4.10861785307251,1.35941645344932,-1075000,2810000,-110.242950680317,47.5571913530339
63,-3.83122891525258,-6.39168957007482,-1.4342131401466,-0.291347915561418,-1.5573007261054,0.942030204199005,-1.22334180645729,-4.03867630092281,1.51828727774986,-975000,2810000,-108.935146487358,47.6862450692055
64,-4.15559700287018,-6.65813774642191,-1.85147269775757,-0.472179900706745,-1.60645833104744,0.59329723929446,-0.919602337266982,-3.68076664303757,1.7960278529599,-875000,2810000,-107.622393912519,47.8029801239973
65,-4.01295408055166,-6.69391799708262,-1.54811481233719,-0.35403294171533,-1.5824901848992,0.812473696813375,-1.0385202772717,-3.79810561632123,1.71036549605636,-775000,2810000,-106.305168819975,47.9073123211315
66,-3.93485258500578,-6.81224318216515,-1.24976325640143,-0.300547860616186,-1.70406462545222,1.08174862262868,-1.38540798169123,-4.35216777761233,1.43735957949153,-675000,2810000,-104.983955639354,47.9991712513146
67,-3.94655487708493,-6.78124801057257,-1.24692016449919,-0.260711982932791,-1.57857318909951,1.01682662584904,-1.71469450584161,-4.5117160005904,0.975778711161331,-575000,2810000,-103.659251405998,48.0784890864749
68,-4.21761482072374,-7.22268175479283,-1.3746185303635,-0.312659921318742,-1.81430158648959,1.12607461284299,-1.59242758916091,-4.07977610572689,0.87714604889621,-475000,2810000,-102.331558524705,48.1452102224919
69,-4.61055614559006,-7.75672661380905,-1.68779398106798,-0.371995498147829,-1.91401823507555,1.09357950900042,-1.11050105184066,-2.79772959049638,0.575037905793805,-375000,2810000,-101.001385027133,48.1992851979385
70,-4.5730453062155,-7.78707831283142,-1.50961462132774,-0.31556947736987,-1.91292457707345,1.23211309810946,-1.77879397882617,-3.4347857130043,-0.103839142265457,-275000,2810000,-99.6692479541713,48.2406742527315
71,-5.00820845951748,-8.32073554949029,-1.89287122424195,-0.523362086877727,-2.1418347825246,1.02389197755497,-1.1601076170245,-2.75984154547535,0.462883223436552,-175000,2810000,-98.3356669779927,48.2693492469662
72,-5.22079293553095,-8.71612383281234,-1.99043564908004,-0.50051986013341,-2.16755587643748,1.10916672343794,-0.871991202882226,-2.73358683488109,1.03651683208885,-75000,2810000,-97.0011666035386,48.2852864652238
73,-5.17169463603293,-8.70808742408787,-1.9250771259373,-0.414188977949544,-2.1060404868408,1.22109806410936,-1.557295717158,-3.08070670014973,-0.105298241639782,25000,2810000,-95.6662693519086,48.2884754768216
74,-5.29856819888734,-8.78137674369145,-2.10905062523196,-0.379356620863987,-2.08258595018178,1.29444439812072,-1.75128851666589,-3.24626797083223,-0.346489839629268,125000,2810000,-94.3315018396169,48.2789124504967
75,-5.69875928663509,-9.09968483145118,-2.55340368614731,-0.303758969139339,-2.04343495934885,1.4166556149368,-0.909526572226542,-2.24331110181697,0.354234223079268,225000,2810000,-92.997390137809,48.2566028128906
76,-5.66174331557591,-8.88321835686654,-2.75498567333547,0.00075961511936014,-1.68911659954021,1.70857192185182,-1.49466535762527,-2.81615616722927,-0.298408288038886,325000,2810000,-91.6644655087382,48.2215646681103
77,-5.06298150654838,-7.84955737727996,-2.40760937168387,0.496534804045666,-1.06874253128408,2.16976185983382,-1.96308755182587,-3.15458404967864,-0.816883752691505,425000,2810000,-90.3332609530476,48.1738332005057
78,-3.53591097854653,-5.92378693723853,-1.17350062410457,-0.662687370101675,-2.32043374265916,0.90053969296156,-3.64525510400447,-5.74826325508751,-1.54324157252496,525000,2810000,-89.0042539390201,48.1134276170105
79,-4.53648378138826,-7.39560202434026,-1.79761690913653,-0.783769605828371,-2.67969428101155,1.02395047355836,-4.11245549823905,-7.50754245354991,-0.88826789646738,625000,2810000,-87.6779922829481,48.0404012489156
80,-4.86385598378033,-8.21883625349393,-1.70386267181623,-0.753350705178596,-2.90074621360342,1.28321263599,-4.03089327350277,-8.16106752349468,-0.123418597702044,725000,2810000,-86.3549771384183,47.9548095862599
81,-2.08510040863079,-4.63187461680675,0.415059228539472,0.057023679688094,-1.46705341270237,1.69055770354332,-0.611282317287896,-2.60031286143301,1.41045074367015,1925000,2810000,-70.9027006384988,45.9771669400464
82,-1.93472143819724,-4.10360002263048,0.10056859874165,-0.114058802245049,-1.29470244191284,1.14102797764058,-1.71389101378961,-3.4015695616005,-0.108024981276609,2025000,2810000,-69.6631822161933,45.7364137978074
83,-2.65140751307395,-4.56902097962004,-0.797925918694221,-0.228395134133773,-1.39336150551416,1.04341226514708,-2.72841740731135,-4.33768187484007,-1.22483755568667,2125000,2810000,-68.432791635546,45.4845661104195
84,-2.79301942406671,-4.52657211272177,-1.21509790638334,0.0554943992488633,-1.45854523906472,1.67892908987903,-5.16747434562994,-7.78307392356792,-2.83469622644886,2225000,2810000,-67.2118376991686,45.221770223143
85,-4.06619488168587,-8.17438897439812,-0.349054501101972,0.309790302760638,-1.54341527918541,2.14728529243606,-1.59856284671055,-5.71183536660857,2.4487584637087,-2175000,2710000,-123.810571054555,44.4947177637686
86,-4.06260663554716,-7.8418789703682,-0.574195930641132,0.306260788498005,-1.35433273897183,1.95208463351999,-1.62002805566369,-5.27809112860657,1.98799158964647,-2075000,2710000,-122.599118448898,44.7482627377056
87,-4.0602747812057,-7.70313725976706,-0.724174807453948,0.28729131343317,-1.27295990478365,1.80613811172322,-1.66693637726201,-5.0495527745967,1.70045558826987,-1975000,2710000,-121.378723900361,44.9909001656083
88,-4.05594555802742,-7.50057712820059,-0.893740031670733,0.23637246698677,-1.20729970214871,1.65090671599676,-1.74801806368821,-4.82878759353226,1.27570679225527,-1875000,2710000,-120.149691068532,45.2224985222062
89,-4.05768409167947,-7.30499494214098,-1.09802567529237,0.141379261992589,-1.19240049511245,1.44061161821482,-1.89007127402913,-4.42506913617058,0.39705597432691,-1775000,2710000,-118.912344450706,45.4429306819675
90,-3.76743191066661,-6.80120087878537,-0.97600847252758,-0.0253243141149498,-1.29143003797603,1.19806342575121,-1.17797284642081,-3.87416399681628,1.48576293023033,-1675000,2710000,-117.667024450493,45.6520628861101
91,-3.57762966971223,-6.26499597606502,-1.13587551695815,-0.179472887189006,-1.10722958432096,0.841597530134779,-0.761457366416508,-3.29949198568343,1.54526805089845,-1575000,2710000,-116.414082614044,45.8497815298647
92,-3.29145330666853,-5.87075734172361,-0.875560925592107,-0.173009424199523,-1.35407033738828,0.971369968927668,-0.834218045169952,-2.94586448655123,1.11723057493508,-1475000,2710000,-115.153895433217,46.0359649024647
93,-3.11813308976449,-5.43136640818862,-0.954452216972607,-0.349543875652017,-1.08297012380328,0.355334894640941,-1.98471471343292,-4.01227836532176,-0.0476529241753828,-1375000,2710000,-113.886838481153,46.2105027178984
94,-2.7479041560735,-4.83192102394615,-0.764734119675013,-0.000699417361703405,-0.744214120701836,0.829326321913574,-1.57508034114757,-4.02943848367483,0.770037434637319,-1275000,2710000,-112.613318458256,46.3732825876321
95,-2.94530019591943,-5.05819797561815,-0.988369934563651,0.0267163081113115,-0.871272574420371,0.961084434771007,-2.31817035307796,-4.82398205014321,-0.0141110447435591,-1175000,2710000,-111.333743391348,46.5242070681126
96,-2.85440560615319,-5.08004438905791,-0.727275551019581,-0.192164937571179,-1.20525677077031,0.874797308393763,-1.69528024086676,-4.42543908421064,0.880698479635136,-1075000,2710000,-110.048531846479,46.6631748214316
