"camera_level","n_site_keep","inat_level","global_mult","ecoregion","n_reps","rmse","bias","coverage","mean_n_site_region","mean_cam_detections_region","mean_inat_count_region","convergence_filter"
"2x",1400,"1x",1,"GREAT PLAINS",30,0.250048657052881,0.211233927940964,0.766666666666667,175,44.3333333333333,85.3333333333333,"all_reps"
"2x",1400,"1x",1,"MARINE WEST COAST FOREST",30,0.12729481233098,0.0749906093480652,1,175,38.6666666666667,443.766666666667,"all_reps"
"2x",1400,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.101239080833211,0.0464532310382893,1,175,146.1,233.3,"all_reps"
"2x",1400,"1x",1,"NORTH AMERICAN DESERTS",30,0.111283290693149,-0.076361164629618,1,175,81.6333333333333,19.1333333333333,"all_reps"
"2x",1400,"1x",1,"NORTHERN FORESTS",30,0.132663711073138,-0.0657336884783906,0.966666666666667,175,29.8333333333333,36.1666666666667,"all_reps"
"2x",1400,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.239572424922126,-0.222531553228806,0.866666666666667,175,37.3333333333333,36.9333333333333,"all_reps"
"2x",1400,"1x",1,"WATER",30,0.240269204767461,-0.218434381207967,0.933333333333333,175,48.6333333333333,28.7333333333333,"all_reps"
"2x",1400,"4x",4,"EASTERN TEMPERATE FORESTS",30,0.22671370826905,0.20599115220755,0.833333333333333,175,29.0666666666667,73,"all_reps"
"2x",1400,"4x",4,"GREAT PLAINS",30,0.176077226161861,0.142912658135136,0.9,175,41.4,361.6,"all_reps"
"2x",1400,"4x",4,"MARINE WEST COAST FOREST",30,0.121412982486053,0.0966064311127103,0.966666666666667,175,38.0666666666667,1845.83333333333,"all_reps"
"2x",1400,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.149599886106371,0.0430667995540192,0.933333333333333,175,144.166666666667,919.8,"all_reps"
"2x",1400,"4x",4,"NORTH AMERICAN DESERTS",30,0.137571415426293,-0.0682469912158963,1,175,80.5666666666667,79.2,"all_reps"
"2x",1400,"4x",4,"NORTHERN FORESTS",30,0.143685301417043,-0.102515741393399,0.966666666666667,175,30.3666666666667,139.666666666667,"all_reps"
"2x",1400,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,0.184795468775179,-0.174192214105646,0.9,175,34.7,165.6,"all_reps"
"2x",1400,"4x",4,"WATER",30,0.226510707494002,-0.193842489464529,0.766666666666667,175,48.0666666666667,119.433333333333,"all_reps"
"2x",1400,"16x",16,"EASTERN TEMPERATE FORESTS",30,1.05135099416174,0.454124282156493,0.666666666666667,175,29.7,295.3,"all_reps"
"2x",1400,"16x",16,"GREAT PLAINS",30,0.329838264335352,0.202255287652376,0.833333333333333,175,41.8333333333333,1392.63333333333,"all_reps"
"2x",1400,"16x",16,"MARINE WEST COAST FOREST",30,0.395867499941053,0.155872902120539,0.866666666666667,175,42,6866.76666666667,"all_reps"
"2x",1400,"16x",16,"MEDITERRANEAN CALIFORNIA",30,0.613812198549265,-0.132236776141208,1,175,142.133333333333,3707.66666666667,"all_reps"
"2x",1400,"16x",16,"NORTH AMERICAN DESERTS",30,0.627936984692447,0.119263943145789,1,175,80.6333333333333,332.4,"all_reps"
"2x",1400,"16x",16,"NORTHERN FORESTS",30,0.348254376047463,0.0196388519676029,0.9,175,27.8,565.333333333333,"all_reps"
"2x",1400,"16x",16,"NORTHWESTERN FORESTED MOUNTAINS",30,0.505854187756838,-0.0229511979140222,0.833333333333333,175,39.3333333333333,615.833333333333,"all_reps"
"2x",1400,"16x",16,"WATER",30,0.290591407894022,-0.225376919884963,0.766666666666667,175,48.9333333333333,445.166666666667,"all_reps"
"4x",2800,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.245772398255418,0.216313948086645,1,350,63.1,4.9,"all_reps"
"4x",2800,"0.25x",0.25,"GREAT PLAINS",30,0.281383360089401,0.256461372864323,0.966666666666667,350,75.8666666666667,23.2666666666667,"all_reps"
"4x",2800,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.129449894231518,0.095194337049066,1,350,81.9333333333333,112.366666666667,"all_reps"
"4x",2800,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.104113198452381,0.030316051599541,1,350,275.1,56.6333333333333,"all_reps"
