unit_5,n_cameras,trap_nights,extent_km,span_weeks,year,src
CA_Forest_Wild_SierraNevada_24__2024#0,11,627.0,2.5528595698131893,8.142857142857142,2024,camera_trap_array
GA_Forest_Wild_JonesCenter_24__2024#2,8,288.0,3.2475741996272696,5.142857142857143,2024,camera_trap_array
MI_Forest_Wild_UpperPeninsula2_24__2024#2,3,214.0,4.572511293846299,10.714285714285714,2024,camera_trap_array
MN_Forest_Wild_NRRI_24__2024#2,13,416.0,2.9338827760559556,4.571428571428571,2024,camera_trap_array
FL_Grassland_Rural_DeLuca_24__2024#2,12,505.0,4.172444881055189,6.285714285714286,2024,camera_trap_array
MA_Forest_Suburban_BridgewaterStateUniversity_24__2024#0,10,639.0,0.9023657876442389,9.142857142857142,2024,camera_trap_array
WY_Forest_Wild_Alexander_24__2024#0,17,965.0,3.5513690576496533,10.0,2024,camera_trap_array
CA_Grassland_Rural_CalPolySLO_24__2024#0,14,814.0,1.646838384937379,10.571428571428571,2024,camera_trap_array
FL_Grassland_Wild_Torreya_24__2024#3,26,870.0,2.080681976632791,12.0,2024,camera_trap_array
MA_Forest_Rural_Tufts_24__2024#0,21,907.0,2.8324354910404885,12.571428571428571,2024,camera_trap_array
VT_Forest_Rural_Watershed_24__2024#0,16,983.0,1.2535278646667414,9.0,2024,camera_trap_array
FL_Grassland_Rural_Ellington_24__2024#0,26,1137.0,4.460750990819602,8.285714285714286,2024,camera_trap_array
MI_Forest_Wild_UpperPeninsula2_24__2024#1,3,225.0,3.565732827561787,10.714285714285714,2024,camera_trap_array
MI_Forest_Wild_UpperPeninsula2_24__2024#3,2,150.0,2.748958099369117,10.714285714285714,2024,camera_trap_array
MA_Forest_Rural_Tufts2_24__2024#0,8,571.0,1.8347711887132565,12.285714285714286,2024,camera_trap_array
PA_Forest_Rural_CampK_24__2024#0,12,780.0,1.1921375973660473,9.285714285714286,2024,camera_trap_array
NY_Forest_Urban_NYC_24__2024#5,5,125.0,4.138614065770063,4.714285714285714,2024,camera_trap_array
NH_Forest_Rural_Bartlett_24__2024#0,23,1410.0,2.819603896164424,10.714285714285714,2024,camera_trap_array
NY_Forest_Rural_BlackRock_24__2024#0,15,780.0,4.356296327027791,7.428571428571429,2024,camera_trap_array
AL_Forest_Suburban_Fantle-Lepczyk_24__2024#0,15,610.0,0.829036603031712,6.0,2024,camera_trap_array
NC_Forest_Suburban_WhitePinesPreserve_24__2024#0,16,1056.0,1.4827827762543186,9.428571428571429,2024,camera_trap_array
FL_Forest_Wild_CrocLake_24__2024#3,5,218.0,2.427241570425004,12.0,2024,camera_trap_array
FL_Forest_Wild_CrocLake_24__2024#1,5,351.0,3.227201412847677,11.428571428571429,2024,camera_trap_array
OR_Forest_Wild_Lesmeister_24__2024#2,11,572.0,3.633087473521736,7.428571428571429,2024,camera_trap_array
FL_Forest_Rural_NFREC_24__2024#0,24,723.0,2.6405040301883225,9.285714285714286,2024,camera_trap_array
KY_Forest_Wild_KNLT_24__2024#2,1,74.0,0.0,10.571428571428571,2024,camera_trap_array
OH_Forest_Rural_Roosenburg_24__2024#0,7,518.0,1.3425850756140831,10.571428571428571,2024,camera_trap_array
MS_Anthropogenic_Suburban_Starkville_24__2024#2,10,899.0,3.6451318493329334,13.142857142857142,2024,camera_trap_array
NC_Forest_Wild_NCZoo_24__2024#0,20,669.0,2.6865691626200645,9.571428571428571,2024,camera_trap_array
IA_Forest_Rural_Rentz_24__2024#1,7,289.0,1.8653358460665004,7.857142857142857,2024,camera_trap_array
WI_Forest_Rural_Whitewater_24__2024#1,9,417.0,0.8121348921150484,8.0,2024,camera_trap_array
KY_Forest_Wild_LandBetweenLakes1_24__2024#2,4,196.0,2.5031084589540145,7.0,2024,camera_trap_array
MI_Forest_Wild_Rockport_24__2024#2,9,503.0,4.105743407998653,8.0,2024,camera_trap_array
MO_Forest_Wild_BullShoals_24__2024#0,12,732.0,3.0593041037200215,8.714285714285714,2024,camera_trap_array
NC_Forest_Wild_SouthMountains_24__2024#0,16,792.0,1.3602859215261403,10.285714285714286,2024,camera_trap_array
WI_Forest_Wild_Stenglein_24__2024#1,5,305.0,2.5845170439743823,9.285714285714286,2024,camera_trap_array
TX_Scrubland_Rural_NuecesDeltaPres_24__2024#2,7,336.0,3.9641386024836125,9.142857142857142,2024,camera_trap_array
KY_Forest_Wild_LandBetweenLakes1_24__2024#3,6,188.0,3.7614522563335373,10.0,2024,camera_trap_array
NM_Grassland_Rural_ENMU_24__2024#0,13,406.0,1.1890305571134998,7.285714285714286,2024,camera_trap_array
WI_Forest_Wild_Stenglein_24__2024#2,2,89.0,3.030330747964835,9.571428571428571,2024,camera_trap_array
FL_Forest_Suburban_Morningside_24__2024#1,8,407.0,2.3241981174769513,9.714285714285714,2024,camera_trap_array
WV_Forest_Rural_UniversityResearchForest_24__2024#1,20,884.0,4.752636667689816,7.0,2024,camera_trap_array
NC_Forest_Wild_Hill_24__2024#0,18,657.0,4.150590490388467,5.285714285714286,2024,camera_trap_array
IA_Forest_Rural_Rentz_24__2024#2,8,423.0,2.404947582536932,13.857142857142858,2024,camera_trap_array
MS_Anthropogenic_Suburban_Starkville_24__2024#1,5,426.0,2.5259216564973834,12.857142857142858,2024,camera_trap_array
IL_Forest_Wild_Deshwal_24__2024#5,3,297.0,0.31897778477408684,14.142857142857142,2024,camera_trap_array
TN_Forest_Wild_Unaka_24__2024#1,2,126.0,1.1437092544063263,9.0,2024,camera_trap_array
CO_Forest_Wild_USAFA_24__2024#3,5,200.0,3.848740221047552,5.714285714285714,2024,camera_trap_array
IL_Forest_Urban_CAPTURE_24__2024#2,12,414.0,2.581451673534394,10.857142857142858,2024,camera_trap_array
MI_Forest_Rural_FlatRiver_24__2024#0,15,765.0,1.4573657292607174,7.285714285714286,2024,camera_trap_array
IL_Forest_Wild_Deshwal_24__2024#3,1,99.0,0.0,14.142857142857142,2024,camera_trap_array
CO_Forest_Wild_USAFA_24__2024#1,9,360.0,4.57273013630101,5.714285714285714,2024,camera_trap_array
IL_Forest_Urban_CAPTURE_24__2024#3,12,426.0,3.5631530335014667,10.857142857142858,2024,camera_trap_array
TN_Forest_Wild_Unaka_24__2024#5,2,126.0,2.9561005016096096,9.0,2024,camera_trap_array
TN_Forest_Wild_Unaka_24__2024#2,2,126.0,2.35349912286176,9.0,2024,camera_trap_array
NH_Forest_Rural_QPF_24__2024#0,15,545.0,0.8351505008842399,10.857142857142858,2024,camera_trap_array
TN_Forest_Wild_Unaka_24__2024#3,2,126.0,1.8967813665935231,9.0,2024,camera_trap_array
CO_Forest_Wild_USAFA_24__2024#2,5,200.0,0.9643822779060552,5.714285714285714,2024,camera_trap_array
