cell50,x50,y50,lon,lat
1386,1750000,2085000,-75.1395072682444,40.0462191737689
1389,-2300000,2035000,-122.94325189644,38.3919570548252
1390,-2250000,2035000,-122.38747635901,38.5154884180015
1391,-2200000,2035000,-121.829840005016,38.6365069298483
1392,-2150000,2035000,-121.270378235928,38.7550002992508
1393,-2100000,2035000,-120.709118129371,38.8709595773421
1394,-2050000,2035000,-120.14608771844,38.9843672792189
1409,-1300000,2035000,-111.511164150686,40.3721557172223
1413,-1100000,2035000,-109.157908368446,40.6404753061641
1417,-900000,2035000,-106.78830021479,40.8648831041466
1419,-800000,2035000,-105.598236458589,40.9604866520144
1435,0,2035000,-95.9999999747707,41.3216269314511
1458,1150000,2035000,-82.2521397333044,40.5774868498973
1462,1350000,2035000,-79.9033938308382,40.298269924662
1463,1400000,2035000,-79.3191855492902,40.2216850728918
1468,1650000,2035000,-76.4179780539914,39.7985178598822
1469,1700000,2035000,-75.8419740897964,39.7059038021301
1471,1800000,2035000,-74.694507045032,39.512774373955
1473,-2300000,1985000,-122.782532224607,37.9635699994887
1474,-2250000,1985000,-122.229721557943,38.0863862663611
1475,-2200000,1985000,-121.675084022103,38.2066995349746
1478,-2050000,1985000,-120.000501586312,38.5525178539998
1490,-1450000,1985000,-113.157450547494,39.7034758584504
1498,-1050000,1985000,-108.488743400164,40.2582176112428
1501,-900000,1985000,-106.720974122848,40.4213250032604
1502,-850000,1985000,-106.129996789063,40.4701946699446
1503,-800000,1985000,-105.538229266375,40.5163044104533
1530,550000,1985000,-89.430840642175,40.7052490885429
1537,900000,1985000,-85.2790235002518,40.4213237761053
1541,1100000,1985000,-82.9238657498303,40.1983659984748
1546,1350000,1985000,-80.0027993031531,39.8583551706361
1548,1450000,1985000,-78.8425505857689,39.7034730073902
1550,1550000,1985000,-77.6874479892754,39.5379074702579
1551,1600000,1985000,-77.1119242186726,39.45114030518
1552,1650000,1985000,-76.5378000800905,39.3617316604829
1554,1750000,1985000,-75.3939000523234,39.1750223324852
1555,1800000,1985000,-74.8241961012087,39.0777451537825
1556,-2300000,1935000,-122.623668112272,37.5349449938601
1557,-2250000,1935000,-122.073796325726,37.6570603996769
1562,-2000000,1935000,-119.298062864115,38.2300359712764
1571,-1550000,1935000,-114.20079703736,39.0999841294191
1582,-1000000,1935000,-107.8267263069,39.8725389911402
1583,-950000,1935000,-107.241029586204,39.9265610616934
1585,-850000,1935000,-106.067110267552,40.0264104424822
1586,-800000,1935000,-105.478968667215,40.0722211759544
1587,-750000,1935000,-104.890096369955,40.1152852060354
1596,-300000,1935000,-99.5647744941128,40.3784068032156
1604,100000,1935000,-94.8112446390131,40.4230587004956
1615,650000,1935000,-88.2896598693043,40.193138337477
1618,800000,1935000,-86.5210293974959,40.0722179551778
1623,1050000,1935000,-83.5884823808739,39.8157862244547
1624,1100000,1935000,-83.0046354367257,39.7563182693443
1630,1400000,1935000,-79.5236705152205,39.3428198247567
1633,1550000,1935000,-77.7992011055306,39.0999831654397
1634,1600000,1935000,-77.2270047573642,39.0137476642052
1635,1650000,1935000,-76.6561853794786,38.9248835073096
1636,1700000,1935000,-76.0867778652023,38.8333994755725
1637,1750000,1935000,-75.5188179293353,38.7393060047301
1639,-2300000,1885000,-122.466629439657,37.1060612827742
1640,-2250000,1885000,-121.919668155202,37.2274900459823
1641,-2200000,1885000,-121.370937388204,37.3464397359792
1644,-2050000,1885000,-119.714434708173,37.688288396013
1645,-2000000,1885000,-119.158931349382,37.7971949049215
1660,-1250000,1885000,-110.650654017562,39.120865666405
1666,-950000,1885000,-107.171801491968,39.4834739278268
1668,-850000,1885000,-106.004996072895,39.5826917516443
1669,-800000,1885000,-105.420433632994,39.6282109702619
1670,-750000,1885000,-104.835155420848,39.6710005135731
1700,750000,1885000,-87.1648453492298,39.6709977205051
