cell50,n,x50,y50,in_range
203,1,250000,2835000,TRUE
204,5,300000,2835000,TRUE
205,4,400000,2835000,TRUE
206,96,550000,2835000,TRUE
207,1,1950000,2835000,TRUE
208,12,2000000,2835000,TRUE
209,80,2050000,2835000,TRUE
210,54,2100000,2835000,TRUE
211,4,2150000,2835000,TRUE
212,13,2200000,2835000,TRUE
213,0,-2200000,2785000,FALSE
214,0,-2150000,2785000,FALSE
215,0,-2100000,2785000,FALSE
216,0,-2050000,2785000,FALSE
217,0,-2000000,2785000,FALSE
218,0,-1950000,2785000,FALSE
219,0,-1900000,2785000,FALSE
220,0,-1850000,2785000,FALSE
221,0,-1800000,2785000,FALSE
222,1,-1750000,2785000,FALSE
223,5,-1700000,2785000,TRUE
224,0,-1650000,2785000,TRUE
225,7,-1600000,2785000,TRUE
226,2,-1550000,2785000,TRUE
227,1,-1500000,2785000,TRUE
228,1,-1450000,2785000,TRUE
229,8,-1400000,2785000,TRUE
230,13,-1350000,2785000,TRUE
231,0,-1300000,2785000,TRUE
232,3,-1250000,2785000,TRUE
233,0,-1200000,2785000,FALSE
234,0,-1150000,2785000,FALSE
235,0,-1100000,2785000,FALSE
236,0,-1050000,2785000,FALSE
237,0,-1000000,2785000,FALSE
238,0,-950000,2785000,FALSE
239,0,-900000,2785000,FALSE
240,0,-850000,2785000,FALSE
241,0,-800000,2785000,FALSE
243,0,-700000,2785000,FALSE
244,0,-650000,2785000,FALSE
245,2,-600000,2785000,FALSE
246,0,-550000,2785000,FALSE
247,1,-500000,2785000,FALSE
249,1,-400000,2785000,FALSE
250,0,-350000,2785000,FALSE
251,1,-300000,2785000,FALSE
252,0,-250000,2785000,FALSE
253,2,-200000,2785000,FALSE
255,0,-100000,2785000,TRUE
256,1,-50000,2785000,TRUE
257,0,0,2785000,TRUE
258,1,50000,2785000,TRUE
259,0,100000,2785000,TRUE
260,1,150000,2785000,TRUE
261,0,200000,2785000,TRUE
262,4,250000,2785000,TRUE
263,21,300000,2785000,TRUE
264,16,350000,2785000,TRUE
265,78,400000,2785000,TRUE
266,34,450000,2785000,TRUE
267,74,500000,2785000,TRUE
268,64,550000,2785000,FALSE
269,3,1950000,2785000,TRUE
270,27,2000000,2785000,TRUE
271,55,2050000,2785000,TRUE
272,8,2100000,2785000,TRUE
273,5,2150000,2785000,TRUE
274,9,2200000,2785000,TRUE
275,9,2250000,2785000,TRUE
276,0,-2200000,2735000,FALSE
277,0,-2150000,2735000,FALSE
278,0,-2100000,2735000,FALSE
279,0,-2050000,2735000,FALSE
280,0,-2000000,2735000,FALSE
281,0,-1950000,2735000,FALSE
282,0,-1900000,2735000,FALSE
283,0,-1850000,2735000,FALSE
284,0,-1800000,2735000,FALSE
285,0,-1750000,2735000,TRUE
286,0,-1700000,2735000,TRUE
287,0,-1650000,2735000,TRUE
288,0,-1600000,2735000,TRUE
289,0,-1550000,2735000,TRUE
290,2,-1500000,2735000,TRUE
291,0,-1450000,2735000,TRUE
292,25,-1400000,2735000,TRUE
293,10,-1350000,2735000,TRUE
294,0,-1300000,2735000,TRUE
295,12,-1250000,2735000,TRUE
296,2,-1200000,2735000,FALSE
297,0,-1150000,2735000,FALSE
298,0,-1100000,2735000,FALSE
299,0,-1050000,2735000,FALSE
300,1,-1000000,2735000,FALSE
301,0,-950000,2735000,FALSE
302,0,-900000,2735000,FALSE
303,0,-850000,2735000,FALSE
304,0,-800000,2735000,FALSE
305,0,-750000,2735000,FALSE
306,0,-700000,2735000,FALSE
307,0,-650000,2735000,FALSE
308,0,-600000,2735000,FALSE
309,0,-550000,2735000,FALSE
310,0,-500000,2735000,FALSE
311,0,-450000,2735000,FALSE
312,2,-400000,2735000,FALSE
313,3,-350000,2735000,FALSE
314,0,-300000,2735000,FALSE
315,1,-250000,2735000,FALSE
316,0,-200000,2735000,FALSE
318,0,-100000,2735000,FALSE
319,2,-50000,2735000,TRUE
320,5,0,2735000,TRUE
321,0,50000,2735000,TRUE
322,0,100000,2735000,TRUE
323,0,150000,2735000,TRUE
324,1,200000,2735000,TRUE
325,2,250000,2735000,TRUE
326,7,300000,2735000,TRUE
327,87,350000,2735000,TRUE
328,27,400000,2735000,TRUE
329,0,550000,2735000,TRUE
330,1,600000,2735000,FALSE
331,0,650000,2735000,FALSE
332,6,1900000,2735000,TRUE
333,25,1950000,2735000,TRUE
334,37,2000000,2735000,TRUE
335,2,2050000,2735000,TRUE
336,4,2100000,2735000,TRUE
337,17,2150000,2735000,TRUE
338,4,2200000,2735000,TRUE
339,3,2250000,2735000,TRUE
340,0,-2200000,2685000,FALSE
341,0,-2150000,2685000,FALSE
342,0,-2100000,2685000,FALSE
343,0,-2050000,2685000,FALSE
344,0,-2000000,2685000,FALSE
345,0,-1950000,2685000,FALSE
346,0,-1900000,2685000,FALSE
347,0,-1850000,2685000,FALSE
348,0,-1800000,2685000,TRUE
349,0,-1750000,2685000,TRUE
350,0,-1700000,2685000,TRUE
351,0,-1650000,2685000,TRUE
352,0,-1600000,2685000,TRUE
353,2,-1550000,2685000,TRUE
354,0,-1500000,2685000,TRUE
355,0,-1450000,2685000,TRUE
356,3,-1400000,2685000,TRUE
357,15,-1350000,2685000,TRUE
358,5,-1300000,2685000,TRUE
359,1,-1250000,2685000,TRUE
360,0,-1200000,2685000,TRUE
361,2,-1150000,2685000,FALSE
362,2,-1100000,2685000,FALSE
363,0,-1050000,2685000,FALSE
364,0,-1000000,2685000,FALSE
365,0,-950000,2685000,FALSE
368,0,-800000,2685000,FALSE
370,0,-700000,2685000,FALSE
371,0,-650000,2685000,FALSE
372,0,-600000,2685000,FALSE
373,0,-550000,2685000,FALSE
374,1,-500000,2685000,FALSE
375,0,-450000,2685000,FALSE
376,0,-400000,2685000,FALSE
377,3,-350000,2685000,FALSE
378,0,-300000,2685000,FALSE
379,0,-250000,2685000,FALSE
380,2,-200000,2685000,FALSE
381,0,-150000,2685000,FALSE
382,0,-100000,2685000,FALSE
383,0,-50000,2685000,FALSE
384,1,0,2685000,TRUE
385,1,50000,2685000,TRUE
386,1,100000,2685000,TRUE
387,1,150000,2685000,TRUE
388,3,200000,2685000,TRUE
389,8,250000,2685000,TRUE
390,2,300000,2685000,TRUE
391,5,350000,2685000,TRUE
392,0,400000,2685000,TRUE
393,0,450000,2685000,TRUE
394,0,500000,2685000,TRUE
395,1,550000,2685000,TRUE
396,6,600000,2685000,TRUE
397,0,650000,2685000,TRUE
398,0,750000,2685000,TRUE
399,0,800000,2685000,TRUE
400,5,850000,2685000,TRUE
