cell50,n,x50,y50,in_range
332,26,1900000,2735000,TRUE
333,3,1950000,2735000,TRUE
334,8,2000000,2735000,TRUE
335,14,2050000,2735000,TRUE
336,60,2100000,2735000,TRUE
337,83,2150000,2735000,TRUE
338,34,2200000,2735000,TRUE
339,13,2250000,2735000,TRUE
340,0,-2200000,2685000,TRUE
341,0,-2150000,2685000,TRUE
342,0,-2100000,2685000,TRUE
343,0,-2050000,2685000,TRUE
344,0,-2000000,2685000,TRUE
345,0,-1950000,2685000,TRUE
346,0,-1900000,2685000,TRUE
347,0,-1850000,2685000,TRUE
348,0,-1800000,2685000,TRUE
349,0,-1750000,2685000,TRUE
350,0,-1700000,2685000,TRUE
351,2,-1650000,2685000,TRUE
352,0,-1600000,2685000,TRUE
353,6,-1550000,2685000,TRUE
354,3,-1500000,2685000,TRUE
355,0,-1450000,2685000,TRUE
356,13,-1400000,2685000,TRUE
357,0,-1350000,2685000,TRUE
358,1,-1300000,2685000,TRUE
359,0,-1250000,2685000,TRUE
360,1,-1200000,2685000,TRUE
361,3,-1150000,2685000,TRUE
362,1,-1100000,2685000,TRUE
363,2,-1050000,2685000,TRUE
364,0,-1000000,2685000,TRUE
365,0,-950000,2685000,TRUE
368,0,-800000,2685000,TRUE
370,0,-700000,2685000,TRUE
371,0,-650000,2685000,TRUE
372,3,-600000,2685000,TRUE
373,6,-550000,2685000,TRUE
374,8,-500000,2685000,TRUE
375,1,-450000,2685000,TRUE
376,5,-400000,2685000,TRUE
377,8,-350000,2685000,TRUE
378,2,-300000,2685000,TRUE
379,4,-250000,2685000,TRUE
380,5,-200000,2685000,TRUE
381,0,-150000,2685000,TRUE
382,0,-100000,2685000,TRUE
383,6,-50000,2685000,TRUE
384,4,0,2685000,TRUE
385,28,50000,2685000,TRUE
386,13,100000,2685000,TRUE
387,802,150000,2685000,TRUE
388,16,200000,2685000,TRUE
389,86,250000,2685000,TRUE
390,50,300000,2685000,TRUE
391,71,350000,2685000,TRUE
392,6,400000,2685000,TRUE
393,0,450000,2685000,TRUE
394,2,500000,2685000,TRUE
395,67,550000,2685000,TRUE
396,13,600000,2685000,TRUE
397,8,650000,2685000,TRUE
398,3,750000,2685000,TRUE
399,2,800000,2685000,TRUE
400,11,850000,2685000,TRUE
401,163,900000,2685000,TRUE
402,119,1800000,2685000,TRUE
403,109,1850000,2685000,TRUE
404,22,1900000,2685000,TRUE
405,17,1950000,2685000,TRUE
406,52,2000000,2685000,TRUE
407,32,2050000,2685000,TRUE
408,82,2100000,2685000,TRUE
409,335,2150000,2685000,TRUE
410,245,2200000,2685000,TRUE
411,0,-2250000,2635000,TRUE
412,0,-2200000,2635000,TRUE
413,0,-2150000,2635000,TRUE
414,0,-2100000,2635000,TRUE
415,0,-2050000,2635000,TRUE
416,0,-2000000,2635000,TRUE
417,0,-1950000,2635000,TRUE
418,0,-1900000,2635000,TRUE
419,0,-1850000,2635000,TRUE
420,0,-1800000,2635000,TRUE
421,0,-1750000,2635000,TRUE
422,0,-1700000,2635000,TRUE
423,0,-1650000,2635000,TRUE
424,8,-1600000,2635000,TRUE
425,3,-1550000,2635000,TRUE
426,2,-1500000,2635000,TRUE
427,0,-1450000,2635000,TRUE
428,1,-1400000,2635000,TRUE
429,1,-1350000,2635000,TRUE
430,3,-1300000,2635000,TRUE
431,4,-1250000,2635000,TRUE
432,8,-1200000,2635000,TRUE
433,119,-1150000,2635000,TRUE
434,6,-1100000,2635000,TRUE
435,1,-1050000,2635000,TRUE
436,0,-1000000,2635000,TRUE
437,0,-950000,2635000,TRUE
438,1,-900000,2635000,TRUE
439,0,-850000,2635000,TRUE
441,0,-750000,2635000,TRUE
443,0,-650000,2635000,TRUE
