"year","species","raw_count","pct_grid_masked"
2013,"american_black_bear",185,0.3676
2014,"american_black_bear",219,0.3622
2015,"american_black_bear",290,0.378
2016,"american_black_bear",454,0.3985
2017,"american_black_bear",678,0.4174
2018,"american_black_bear",1401,0.4318
2019,"american_black_bear",1853,0.4333
2020,"american_black_bear",2440,0.4491
2021,"american_black_bear",2249,0.4516
2022,"american_black_bear",2672,0.4518
2023,"american_black_bear",2965,0.4576
2024,"american_black_bear",3481,0.4658
2025,"american_black_bear",3820,0.4641
2008,"red_fox",45,0.2321
2009,"red_fox",35,0.2261
2010,"red_fox",53,0.2233
2011,"red_fox",57,0.2334
2012,"red_fox",69,0.2177
2013,"red_fox",116,0.2463
2014,"red_fox",151,0.233
2015,"red_fox",241,0.2362
2016,"red_fox",426,0.2282
2017,"red_fox",612,0.215
2018,"red_fox",1058,0.2228
2019,"red_fox",1643,0.2167
2020,"red_fox",3130,0.2155
2021,"red_fox",2832,0.215
2022,"red_fox",3371,0.2156
2023,"red_fox",3518,0.217
2024,"red_fox",4079,0.2148
2025,"red_fox",4646,0.2199
2008,"brown_bear",1,0.9497
2009,"brown_bear",2,0.9634
2010,"brown_bear",5,0.9681
2011,"brown_bear",2,0.968
2012,"brown_bear",1,0.9599
2013,"brown_bear",3,0.9719
2014,"brown_bear",6,0.9694
2015,"brown_bear",6,0.9724
2016,"brown_bear",13,0.97
2017,"brown_bear",15,0.9701
2018,"brown_bear",25,0.9739
2019,"brown_bear",28,0.9758
2020,"brown_bear",8,0.9762
2021,"brown_bear",45,0.9749
2022,"brown_bear",38,0.975
2023,"brown_bear",38,0.9754
2024,"brown_bear",43,0.976
2025,"brown_bear",46,0.976
2008,"kit_fox",0,0.8539
2009,"kit_fox",2,0.8601
2010,"kit_fox",4,0.8712
2011,"kit_fox",2,0.8627
2012,"kit_fox",1,0.8726
2013,"kit_fox",1,0.8593
2014,"kit_fox",1,0.8671
2015,"kit_fox",5,0.8694
2016,"kit_fox",8,0.8783
2017,"kit_fox",12,0.8876
2018,"kit_fox",18,0.8754
2019,"kit_fox",19,0.8818
2020,"kit_fox",31,0.8765
2021,"kit_fox",36,0.8819
2022,"kit_fox",69,0.8783
2023,"kit_fox",42,0.8782
2024,"kit_fox",62,0.8793
2025,"kit_fox",57,0.8759
2008,"rock_squirrel",16,0.8685
2009,"rock_squirrel",31,0.8601
2010,"rock_squirrel",30,0.8613
2011,"rock_squirrel",37,0.8593
2012,"rock_squirrel",29,0.8626
2013,"rock_squirrel",74,0.8522
2014,"rock_squirrel",85,0.8603
2015,"rock_squirrel",100,0.8589
2016,"rock_squirrel",151,0.8684
2017,"rock_squirrel",262,0.8755
2018,"rock_squirrel",447,0.8709
2019,"rock_squirrel",638,0.8803
2020,"rock_squirrel",612,0.8722
2021,"rock_squirrel",926,0.8764
2022,"rock_squirrel",1066,0.8738
2023,"rock_squirrel",1319,0.8725
2024,"rock_squirrel",1535,0.8747
2025,"rock_squirrel",1890,0.872
2008,"golden_mantled_ground_squirrel",30,0.7922
2009,"golden_mantled_ground_squirrel",26,0.8052
2010,"golden_mantled_ground_squirrel",35,0.8061
2011,"golden_mantled_ground_squirrel",36,0.8124
2012,"golden_mantled_ground_squirrel",55,0.7974
2013,"golden_mantled_ground_squirrel",42,0.8083
2014,"golden_mantled_ground_squirrel",81,0.7991
2015,"golden_mantled_ground_squirrel",111,0.7966
2016,"golden_mantled_ground_squirrel",129,0.816
2017,"golden_mantled_ground_squirrel",222,0.8074
2018,"golden_mantled_ground_squirrel",265,0.8098
2019,"golden_mantled_ground_squirrel",421,0.8076
2020,"golden_mantled_ground_squirrel",575,0.8058
2021,"golden_mantled_ground_squirrel",742,0.8008
2022,"golden_mantled_ground_squirrel",797,0.8022
2023,"golden_mantled_ground_squirrel",1049,0.7991
2024,"golden_mantled_ground_squirrel",1216,0.7987
2025,"golden_mantled_ground_squirrel",1554,0.7959
2008,"nine-banded_armadillo",17,0.7922
2009,"nine-banded_armadillo",35,0.766
2010,"nine-banded_armadillo",40,0.7485
2011,"nine-banded_armadillo",36,0.7529
2012,"nine-banded_armadillo",28,0.7472
2013,"nine-banded_armadillo",80,0.7159
2014,"nine-banded_armadillo",151,0.7229
2015,"nine-banded_armadillo",172,0.7028
2016,"nine-banded_armadillo",267,0.6878
2017,"nine-banded_armadillo",445,0.6833
2018,"nine-banded_armadillo",835,0.6819
2019,"nine-banded_armadillo",1310,0.6788
2020,"nine-banded_armadillo",1762,0.6812
2021,"nine-banded_armadillo",2060,0.6844
2022,"nine-banded_armadillo",2826,0.6853
2023,"nine-banded_armadillo",2202,0.6898
2024,"nine-banded_armadillo",2495,0.6859
2025,"nine-banded_armadillo",3211,0.6862
