"parameter","mean","median","sd","q025","q975","p_negative","n_na","covariate_index","covariate_label","rhat","model"
"occ_beta[5]",0.143125312933522,0.14349590237204,0.031025296899546,0.0824159670347761,0.203737130895165,0,0,5,"Evergreen",1.00151981838509,"white-tailed_deer_v2b_national_scalar"
"occ_beta[6]",0.0019598322552728,0.00203158007338769,0.0214446300000145,-0.0402838443944652,0.0438507787936115,0.460953333333333,0,6,"Mixed",1.00197085251824,"white-tailed_deer_v2b_national_scalar"
"occ_beta[7]",-0.0432980509192335,-0.0433145375393572,0.0162259260847329,-0.074995375050898,-0.0112104190923736,0.996013333333333,0,7,"terrain_ruggedness",1.00097359277363,"white-tailed_deer_v2b_national_scalar"
"occ_beta[8]",0.0351944526831716,0.0351079214246633,0.0245408669452403,-0.0127477432786478,0.0835736768967055,0.0752266666666667,0,8,"soil_clay",1.00100861863915,"white-tailed_deer_v2b_national_scalar"
"occ_beta[9]",0.0330298964180539,0.0328017455917653,0.0286082584749927,-0.0219513424342778,0.089716668309369,0.125026666666667,0,9,"soil_silt",1.00138696750313,"white-tailed_deer_v2b_national_scalar"
"occ_beta[1]",-0.499413291757007,-0.498934855660978,0.0301889116445042,-0.559878465101039,-0.440759031417034,1,0,1,"Human_pop",1.00065706495052,"white-tailed_deer_v2b_ecoregion"
"occ_beta[2]",-0.0444720334994877,-0.0445816014189873,0.0334960858667132,-0.110534386901397,0.0219780863785749,0.908153333333333,0,2,"NDVI_mean",1.00321515581315,"white-tailed_deer_v2b_ecoregion"
"occ_beta[3]",0.0129991346243039,0.012935938111325,0.0211024234264794,-0.0282829096748396,0.0538519875497718,0.270773333333333,0,3,"Ag",1.00232024305036,"white-tailed_deer_v2b_ecoregion"
"occ_beta[4]",0.072949362534848,0.0727823713401572,0.0358433236339566,0.00285919496178753,0.144235971418987,0.0209,0,4,"Deciduous",1.0006764680516,"white-tailed_deer_v2b_ecoregion"
"occ_beta[5]",0.144765293758621,0.144763952360113,0.0308896165108031,0.084793789330639,0.205995033823602,0,0,5,"Evergreen",1.00037455763075,"white-tailed_deer_v2b_ecoregion"
"occ_beta[6]",0.00458869520492719,0.00439398727308088,0.0215426466559006,-0.0372309506528694,0.0471409901262609,0.41764,0,6,"Mixed",1.00072069273829,"white-tailed_deer_v2b_ecoregion"
"occ_beta[7]",-0.0442239719042971,-0.0441083991140019,0.0164333702725492,-0.0764332465072931,-0.0120856928348624,0.99662,0,7,"terrain_ruggedness",1.00021795239552,"white-tailed_deer_v2b_ecoregion"
"occ_beta[8]",0.0437944761671591,0.0436446343546622,0.0253176807364612,-0.00530246765215876,0.0940624836543553,0.0406866666666667,0,8,"soil_clay",1.00046151665633,"white-tailed_deer_v2b_ecoregion"
"occ_beta[9]",0.0297763060507578,0.0299032043177536,0.0295476813809554,-0.02836140883769,0.0879233347907971,0.157673333333333,0,9,"soil_silt",1.00401946153107,"white-tailed_deer_v2b_ecoregion"
"occ_beta[1]",-3.77342440557641,-3.70781048218711,0.947903975974141,-5.79532772821216,-2.09029101624995,1,0,1,"Human_pop",1.01565060633752,"moose_v2b_national_scalar"
"occ_beta[2]",-0.494344271333996,-0.494332469743699,0.107281451834606,-0.705442659994204,-0.286558728574816,1,0,2,"NDVI_mean",1.02126303742301,"moose_v2b_national_scalar"
"occ_beta[3]",0.113089718460986,0.112970183649954,0.0613916625808094,-0.00762048051319524,0.234090218051058,0.0327466666666667,0,3,"Ag",1.00100850662311,"moose_v2b_national_scalar"
"occ_beta[4]",0.0625756997695331,0.0638570154559319,0.195820615602614,-0.321752720300627,0.4490575297959,0.37252,0,4,"Deciduous",1.00930058390218,"moose_v2b_national_scalar"
"occ_beta[5]",1.02103261366769,1.01867121413624,0.194300302098187,0.640206431122921,1.4132704934752,0,0,5,"Evergreen",1.00731934341833,"moose_v2b_national_scalar"
"occ_beta[6]",0.510419735493766,0.506898974516857,0.174490804728638,0.174795090220374,0.866233194941864,0.00145333333333333,0,6,"Mixed",1.00195680362082,"moose_v2b_national_scalar"
"occ_beta[7]",-0.138233007372068,-0.138947137643724,0.0737156332751444,-0.282049026492359,0.00687543357668398,0.969026666666667,0,7,"terrain_ruggedness",1.00022411144448,"moose_v2b_national_scalar"
"occ_beta[8]",-0.048661770461499,-0.0483203450840979,0.162517381146115,-0.366819338526749,0.269926487257746,0.61768,0,8,"soil_clay",1.00375309231908,"moose_v2b_national_scalar"
"occ_beta[9]",-0.392902744696637,-0.381816349010069,0.272700974204308,-0.958303220858995,0.111510307486837,0.932513333333333,0,9,"soil_silt",1.00084349860058,"moose_v2b_national_scalar"
"occ_beta[1]",-3.79779849106566,-3.75881072999455,0.914550396634088,-5.72095844895225,-2.09547973290525,1,0,1,"Human_pop",1.00316151505504,"moose_v2b_ecoregion"
"occ_beta[2]",-0.510806631254403,-0.510917654365171,0.103763366381275,-0.71855664296403,-0.307021688455889,1,0,2,"NDVI_mean",1.00360413629014,"moose_v2b_ecoregion"
"occ_beta[3]",0.112417298208246,0.112855938018432,0.0600718768208175,-0.00716519416402946,0.229182514594152,0.0315066666666667,0,3,"Ag",1.00602704650103,"moose_v2b_ecoregion"
"occ_beta[4]",0.0735670649349382,0.0768632737466061,0.190477739696044,-0.307730203821461,0.432394647632499,0.342666666666667,0,4,"Deciduous",1.00305785404527,"moose_v2b_ecoregion"
"occ_beta[5]",1.05881145588963,1.05531256761584,0.193592059771537,0.696985221623812,1.45562076656133,0,0,5,"Evergreen",1.00621385759285,"moose_v2b_ecoregion"
"occ_beta[6]",0.54248231379624,0.542902255539763,0.18133086013743,0.184731803820553,0.896863047887724,0.0011,0,6,"Mixed",1.02392331173284,"moose_v2b_ecoregion"
"occ_beta[7]",-0.140764340681924,-0.140870629725888,0.0736254778387806,-0.284834057557937,0.00385935233120374,0.971693333333333,0,7,"terrain_ruggedness",1.00013788173218,"moose_v2b_ecoregion"
"occ_beta[8]",-0.0972418544166438,-0.0973189552219415,0.162671091944548,-0.419015489524257,0.223013916233497,0.72334,0,8,"soil_clay",1.0028024149564,"moose_v2b_ecoregion"
"occ_beta[9]",-0.419762637665825,-0.411754795096639,0.279410381192596,-0.997434123049646,0.096949315516998,0.939493333333333,0,9,"soil_silt",1.00372904906235,"moose_v2b_ecoregion"
"occ_beta[1]",-2.1124803796334,-2.06046791989202,0.804911154176388,-3.82392392597995,-0.685179672330106,1,0,1,"Human_pop",1.00122329446296,"moose_v1fix9_national_scalar"
"occ_beta[2]",-0.220896150225352,-0.224738259550217,0.136390714773763,-0.477317180014523,0.0584995400432269,0.942786666666667,0,2,"NDVI_mean",1.0036342357876,"moose_v1fix9_national_scalar"
"occ_beta[3]",0.115473940813894,0.115923254998441,0.0672529839131853,-0.0191543109253763,0.2460614656753,0.04482,0,3,"Ag",1.00493528735859,"moose_v1fix9_national_scalar"
"occ_beta[4]",-0.310300196429695,-0.300017004581911,0.265482862010736,-0.870753286731981,0.183135390793551,0.8827,0,4,"Deciduous",1.00453060646537,"moose_v1fix9_national_scalar"
"occ_beta[5]",0.610284478335642,0.612981771099109,0.247551759838586,0.105337159035599,1.08200792819834,0.00997333333333333,0,5,"Evergreen",1.01058434077495,"moose_v1fix9_national_scalar"
"occ_beta[6]",0.093070611677333,0.0934720437995431,0.228391918086763,-0.354256595985789,0.542701361689472,0.34148,0,6,"Mixed",1.00112265854065,"moose_v1fix9_national_scalar"
"occ_beta[7]",-0.123981807567251,-0.124359744410159,0.0857157823851982,-0.291372771372317,0.0441736872050851,0.926406666666667,0,7,"terrain_ruggedness",1.00098252289075,"moose_v1fix9_national_scalar"
"occ_beta[8]",-0.0117479510820111,-0.0119344631991629,0.184358092059966,-0.373001313568419,0.348578293785109,0.525953333333333,0,8,"soil_clay",1.0064617993905,"moose_v1fix9_national_scalar"
"occ_beta[9]",-0.290636809246766,-0.279697270806586,0.282667094757746,-0.874235052649979,0.238514839357457,0.85188,0,9,"soil_silt",1.00032295647566,"moose_v1fix9_national_scalar"
"occ_beta[1]",-2.25800509344207,-2.20821267977729,0.847652852362325,-4.07027785474845,-0.738084416289658,0.99998,0,1,"Human_pop",1.00496074561579,"moose_v1fix9_ecoregion"
"occ_beta[2]",-0.226959978867709,-0.228536063101985,0.138476008652938,-0.498109480104318,0.0478043300634627,0.948833333333333,0,2,"NDVI_mean",1.00183128203603,"moose_v1fix9_ecoregion"
"occ_beta[3]",0.11512111489521,0.116027903553701,0.0694574255593246,-0.0231989162459579,0.250997950477672,0.0496733333333333,0,3,"Ag",1.00097405932407,"moose_v1fix9_ecoregion"
"occ_beta[4]",-0.345876764705683,-0.338896101451583,0.273506154017617,-0.898458253963001,0.162820093426647,0.899073333333333,0,4,"Deciduous",1.01833106988499,"moose_v1fix9_ecoregion"
"occ_beta[5]",0.630714266747634,0.630043319761681,0.249878593295156,0.146869516973693,1.12432038276858,0.00492,0,5,"Evergreen",1.00284453027058,"moose_v1fix9_ecoregion"
"occ_beta[6]",0.103029744161579,0.10411817585595,0.233567195821631,-0.35286177010266,0.560802608953402,0.32754,0,6,"Mixed",1.00339268822032,"moose_v1fix9_ecoregion"
"occ_beta[7]",-0.124084990684352,-0.124266993704109,0.0853910795398301,-0.292111383128798,0.0440491473993377,0.92716,0,7,"terrain_ruggedness",1.00137039170057,"moose_v1fix9_ecoregion"
"occ_beta[8]",-0.036477788712914,-0.0386109813497394,0.186771876355752,-0.399047821787865,0.3317688421554,0.5809,0,8,"soil_clay",1.00309311385421,"moose_v1fix9_ecoregion"
"occ_beta[9]",-0.300681990448446,-0.293512456517284,0.287473511620076,-0.883358060500114,0.238836830052022,0.852733333333333,0,9,"soil_silt",1.00195582768945,"moose_v1fix9_ecoregion"
