"rep_id","scenario","abundance","estimator","row_id","tvb_true","tvb_mean","tvb_bias","tvb_ci_width","tvb_covered","tvb_detected","year_beta_mean","year_var_mean","tri_mean","tri_fires","disc_spearman","disc_auc","disc_rmse","elapsed_sec","status","n_arrays","mean_prop_detect","frac_saturated"
4,"null","common_deerlike","array_occ",64,-0.179515853428882,-0.293945643206075,-0.114429789777193,4.73371957175719,1,0,0.0707005230884477,-0.364646166294523,0.201125,0,0.201767183114962,0.58579634768771,6.88217526310248,2134.18849492073,"OK",97,0.1548,0
5,"null","common_deerlike","array_occ",65,-0.179515853428882,1.08961831889372,1.2691341723226,5.01844219311928,1,0,0.614070733020529,0.475547585873188,0.281625,0,-0.54581557267384,0.257568553629995,38.4446858520807,2234.57612538338,"OK",97,0.1288,0.0103
6,"null","common_deerlike","array_occ",66,-0.179515853428882,0.862872722361025,1.04238857578991,4.78930729137086,1,0,0.377468535568604,0.485404186792421,0.225375,0,-0.645778116174522,0.200348347532457,34.0280853345768,2107.02483487129,"OK",97,0.1547,0.0206
7,"null","common_deerlike","array_occ",67,-0.179515853428882,-0.807081555052709,-0.627565701623826,4.2404162060291,1,0,-0.254721245643801,-0.552360309408907,0.227,0,0.611558838130072,0.797808030429467,9.73132420121363,2171.22122836113,"OK",97,0.1363,0.0103
8,"null","common_deerlike","array_occ",68,-0.179515853428882,-2.31776461162792,-2.13824875819904,4.88304016363956,1,1,-0.580385083211507,-1.73737952841641,0.2435,0,0.702244265778957,0.839008131343515,21.6431238825738,2029.55209493637,"OK",97,0.1485,0
9,"null","common_deerlike","array_occ",69,-0.179515853428882,-0.96779365110844,-0.788277797679558,5.26002296224001,1,0,-0.337769004561555,-0.630024646546886,0.22225,0,0.596323066001455,0.788182382735935,33.8680145927782,2083.08766579628,"OK",97,0.1505,0
10,"null","common_deerlike","array_occ",70,-0.179515853428882,-0.240383723131377,-0.0608678697024946,5.14872038056827,1,0,0.165707085313647,-0.406090808445024,0.200125,0,0.562115970496262,0.749694346872635,25.9446936411024,2130.46373558044,"OK",97,0.1409,0.0103
11,"null","common_deerlike","array_occ",71,-0.179515853428882,0.38405356650368,0.563569419932562,5.00015041929483,1,0,0.242623571986177,0.141429994517503,0.2235,0,0.428099414713946,0.691382522463079,22.409354943535,2252.027125597,"OK",97,0.1693,0.0103
12,"null","common_deerlike","array_occ",72,-0.179515853428882,0.172449527528004,0.351965380956886,5.68668199663896,1,0,0.292408419134131,-0.119958891606127,0.2235,0,-0.534352797071741,0.237036426090163,30.128335921969,2183.55749177933,"OK",97,0.1597,0.0412
13,"null","common_deerlike","array_occ",73,-0.179515853428882,-1.23264120069512,-1.05312534726624,4.94756241120407,1,0,-0.222983795453108,-1.00965740524202,0.197375,0,0.670086433673359,0.81973257777174,17.5197730604272,1684.51077151299,"OK",97,0.1416,0
14,"null","common_deerlike","array_occ",74,-0.179515853428882,-1.40494561445406,-1.22542976102517,5.56721270908441,1,0,-0.701413001554357,-0.703532612899699,0.28275,0,0.731722692641892,0.851340992450853,17.9345616088785,1811.96300411224,"OK",97,0.1607,0
15,"null","common_deerlike","array_occ",75,-0.179515853428882,0.230508846226832,0.410024699655714,5.74146798425357,1,0,0.294167051893655,-0.0636582056668232,0.24325,0,0.640458690556241,0.810883191988977,30.0920336962853,1810.47522974014,"OK",97,0.1552,0
16,"null","common_deerlike","array_occ",76,-0.179515853428882,0.461469091858723,0.640984945287606,4.00240382970857,1,0,0.241258227058645,0.220210864800079,0.191875,0,-0.64259695061104,0.209110403850259,26.9589863449694,1889.91879487038,"OK",97,0.1693,0.0103
17,"null","common_deerlike","array_occ",77,-0.179515853428882,-0.923048881755663,-0.743533028326781,6.15385370811016,1,0,-0.491253625658143,-0.43179525609752,0.263625,0,0.0445405657478259,0.494372101146927,6.26767058502173,1740.20548439026,"OK",97,0.1475,0.0103
18,"null","common_deerlike","array_occ",78,-0.179515853428882,0.336161272542944,0.515677125971826,5.5087967431491,1,0,0.271414686542595,0.0647465860003483,0.24825,0,0.676728049512789,0.809151157600574,17.7773216934827,2011.638702631,"OK",97,0.1772,0.0412
19,"null","common_deerlike","array_occ",79,-0.179515853428882,-0.344727846623287,-0.165211993194405,4.41775330605124,1,0,0.0800652470584507,-0.424793093681738,0.1755,0,0.762953706014201,0.870417628907994,19.0871920992661,1886.70959687233,"OK",97,0.1367,0.0103
20,"null","common_deerlike","array_occ",80,-0.179515853428882,-0.786527622024173,-0.607011768595291,4.68144606165621,1,0,-0.270525931689382,-0.516001690334791,0.224125,0,0.632200275431183,0.807200799549768,16.9635733590962,1992.28932023048,"OK",97,0.137,0
21,"null","common_deerlike","array_occ",81,-0.179515853428882,-1.09353322016264,-0.914017366733754,5.01531907977949,1,0,-0.423868519531725,-0.669664700630911,0.251,0,0.656561987717211,0.800457024199965,12.7815446183396,1758.81521701813,"OK",97,0.1398,0.0103
22,"null","common_deerlike","array_occ",82,-0.179515853428882,-0.821307161941211,-0.641791308512329,4.54221990940081,1,0,-0.344540441748096,-0.476766720193115,0.236,0,0.47975366969741,0.721321974034039,19.7227065914349,1811.93140029907,"OK",97,0.1425,0
23,"null","common_deerlike","array_occ",83,-0.179515853428882,0.0285390885077646,0.208054941936647,4.51880646090945,1,0,0.192976395436686,-0.164437306928921,0.208625,0,-0.235398028483642,0.42927768829203,13.8444031892006,1889.38055491447,"OK",97,0.1287,0.0103
24,"null","common_deerlike","array_occ",84,-0.179515853428882,-1.72556205140831,-1.54604619797943,4.90097029413322,1,0,-0.940617118567577,-0.784944932840737,0.321625,0,0.697001926780791,0.841031263948456,15.365499066573,1756.24966645241,"OK",97,0.1398,0
25,"null","common_deerlike","array_occ",85,-0.179515853428882,-0.0794308391994057,0.100085014229477,5.27134125753395,1,0,-0.01213906048114,-0.0672917787182657,0.239125,0,0.662323062442871,0.830988375477886,23.328935581664,2131.73389029503,"OK",97,0.1645,0.0103
26,"null","common_deerlike","array_occ",86,-0.179515853428882,0.016477387119406,0.195993240548288,3.89927399352185,1,0,0.666585506633581,-0.650108119514175,0.15725,0,0.234910582646451,0.569426924644375,6.6715433272192,2190.27374911308,"OK",97,0.1461,0.0206
27,"null","common_deerlike","array_occ",87,-0.179515853428882,0.174606135115699,0.354121988544581,5.64255783664457,1,0,0.231875423278369,-0.0572692881626697,0.2555,0,0.669805898647653,0.831405616254924,31.1113925507853,2075.73381137848,"OK",97,0.139,0
28,"null","common_deerlike","array_occ",88,-0.179515853428882,-0.129824253788254,0.0496915996406281,5.49059481294591,1,0,-0.0257896496363622,-0.104034604151892,0.22825,0,0.679971281907854,0.832458421471404,26.8650206104006,2016.70824980736,"OK",97,0.1397,0
29,"null","common_deerlike","array_occ",89,-0.179515853428882,0.568334132255574,0.747849985684457,4.0260172144993,1,0,0.586665810179453,-0.0183316779238787,0.231125,0,0.699409420953169,0.858928952628617,17.820206196148,1699.15220141411,"OK",97,0.1402,0.0206
