"model","chain","n_draws","n_chunks","param","rhat_all_chunks","rhat_resumed_only"
"moose_v1fix_ecoregion","2",50000,5,"det_intercept",1.01576898677236,1.00778827239939
"moose_v1fix_ecoregion","2",50000,5,"intercept_tau",1.03146869526436,1.00095541851506
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[1]",1.0667341349048,1.08229382005139
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[2]",1.01446454564735,1.02082011603111
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[3]",1.11273506756685,1.05511405969486
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[4]",1.01913986125308,1.01949248558925
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[5]",1.04449669575652,1.05521129653564
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[6]",1.03707124363246,1.04504120492101
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[7]",1.01955807231484,1.02116097416954
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[8]",1.55344052516821,1.31382551304244
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[9]",1.1623915499321,1.10034009884672
"moose_v1fix_ecoregion","2",50000,5,"occ_beta[10]",1.59147765601817,1.34315148224536
"moose_v1fix_ecoregion","2",50000,5,"overdisp_inat",1.03706345933971,1.00406875718447
"moose_v1fix_ecoregion","2",50000,5,"p_beta[1]",1.00299563499815,1.00109682596528
"moose_v1fix_ecoregion","2",50000,5,"p_beta[2]",1.00741764258445,1.00600867001408
"moose_v1fix_ecoregion","2",50000,5,"p_beta[3]",1.0040029568904,1.00221594195453
"moose_v1fix_ecoregion","2",50000,5,"p_beta[4]",1.01010058874159,1.00750471864573
"moose_v1fix_ecoregion","2",50000,5,"sigma_region",1.02308771729538,1.02997778810683
"moose_v1fix_ecoregion","2",50000,5,"theta0",1.41650276002638,1.22045755277255
"moose_v1fix_ecoregion","2",50000,5,"theta1",1.19897689293069,1.14454642664003
"moose_v1fix_ecoregion","2",50000,5,"total_var_beta",1.04815363296224,1.03536303242432
"moose_v1fix_ecoregion","2",50000,5,"trend_robust_indicator",1.0037125343193,1.00482665917432
"moose_v1fix_ecoregion","2",50000,5,"year_beta",1.00900860526822,1.01337860204445
"moose_v1fix_ecoregion","2",50000,5,"year_region[1]",1.0093736953336,1.01477209213798
"moose_v1fix_ecoregion","2",50000,5,"year_region[2]",1.00598041107482,1.00901998866491
"moose_v1fix_ecoregion","2",50000,5,"year_region[3]",1.0088460166831,1.01367089216246
"moose_v1fix_ecoregion","2",50000,5,"year_region[4]",1.00711701391697,1.01123228440384
"moose_v1fix_ecoregion","2",50000,5,"year_region[5]",1.00743582389645,1.01154868350703
"moose_v1fix_ecoregion","2",50000,5,"year_region[6]",1.00988399105904,1.01537183807067
